Treatment,Time_point,Days,Plot ,Replicate ,ID,d15N,d13C,perctN,perctC,ratioCN
Enriched,0,0,A,1,A1,2.1696,-18.445169,5.179158332,48.66730783,9.396759998
Enriched,0,0,A,2,A2,1.6556,-18.202862,5.293552852,47.97395198,9.062713326
Enriched,0,0,A,3,A3,1.9006,-18.025301,3.667670093,44.68419397,12.18326426
Enriched,0,0,A,4,A4,2.2526,-17.819291,3.256017877,37.86883839,11.63041476
Enriched,0,0,A,5,A5,2.6126,-17.449454,4.038181893,43.91358301,10.87459262
Enriched,0,0,A,6,A6,1.7556,-15.357962,2.840416309,33.51325333,11.79871177
Enriched,0,0,A,7,A7,2.0076,-17.721191,5.265056539,49.46694073,9.395329445
Enriched,0,0,A,8,A8,2.0416,-18.538364,4.664003415,45.39422256,9.732887934
Enriched,0,0,B,1,B1,2.3806,-15.646376,3.864440341,44.13914561,11.4218727
Enriched,0,0,B,2,B2,2.4566,-15.889664,3.890137525,40.79224093,10.48606654
Enriched,0,0,B,3,B3,2.0566,-18.218558,3.409162245,38.24615951,11.2186387
Enriched,0,0,B,4,B4,1.7146,-18.089066,4.792346001,43.94727647,9.170305413
Enriched,0,0,B,5,B5,2.7946,-18.052769,3.439052437,39.3874257,11.45298783
Enriched,0,0,B,6,B6,2.2876,-16.357601,3.742151618,38.10648729,10.18304205
Enriched,0,0,B,7,B7,2.6416,-18.710039,4.313352731,41.7319867,9.675069325
Enriched,0,0,B,8,B8,3.0006,-17.799671,5.078517124,47.09096331,9.272581377
Enriched,0,0,C,1,C1,2.4366,-17.238539,3.183327811,44.35045059,13.93210289
Enriched,0,0,C,2,C2,2.2456,-17.684894,2.812127604,40.77501432,14.49970274
Enriched,0,0,C,3,C3,1.9776,-20.090306,4.751311347,47.21030475,9.936268392
Enriched,0,0,C,4,C4,2.9936,-19.667495,3.525291624,39.60511948,11.23456545
Enriched,0,0,C,5,C5,2.8126,-18.273494,2.766558303,35.49398583,12.82965401
Enriched,0,0,C,6,C6,2.4936,-16.91579,4.563401824,46.7745597,10.24993229
Enriched,0,0,C,7,C7,3.3096,-18.768899,5.328087619,46.11219627,8.654549168
Enriched,0,0,C,8,C8,2.4536,-17.681951,3.576023197,39.59202948,11.07152479
Control,0,0,A,1,A1,1.3646,-18.382385,4.878153292,42.0373905,8.617480423
Control,0,0,A,2,A2,2.4156,-17.254235,3.074793222,30.11216764,9.793233388
Control,0,0,A,3,A3,2.5266,-16.095674,3.144559084,31.96234498,10.16433278
Control,0,0,A,4,A4,2.1396,-18.506972,3.43735333,40.53457196,11.79237863
Control,0,0,A,5,A5,2.3666,-15.940676,3.964797461,42.31095468,10.67165602
Control,0,0,A,6,A6,2.7846,-16.063301,4.383183703,45.07391637,10.28337378
Control,0,0,A,7,A7,2.6186,-18.87779,2.319836618,23.50233375,10.13102973
Control,0,0,A,8,A8,2.6986,-18.753203,2.236282592,24.96285738,11.16265783
Control,0,0,B,1,B1,2.5866,-18.943517,4.076712604,41.61066905,10.20691746
Control,0,0,B,2,B2,2.2396,-17.723153,3.76311966,36.78284099,9.774560554
Control,0,0,B,3,B3,2.3406,-18.13223,2.572475416,32.90595035,12.79155095
Control,0,0,B,4,B4,2.4136,-20.235494,4.935734201,46.07617085,9.335221262
Control,0,0,B,5,B5,2.4628,-19.042629,4.513646413,44.76544694,9.917801006
Control,0,0,B,6,B6,2.5658,-17.341996,2.962546129,39.50384228,13.33442268
Control,0,0,B,7,B7,2.0358,-19.541664,4.425444132,44.51115757,10.05800915
Control,0,0,B,8,B8,1.1918,-18.7344015,4.386624743,42.19945137,9.620027662
Control,0,0,C,1,C1,1.1738,-18.8244235,4.431369305,41.54701958,9.375661725
Control,0,0,C,2,C2,3.0348,-17.8185255,5.298142098,48.19447468,9.096485861
Control,0,0,C,3,C3,1.7768,-19.770633,4.755295226,39.0466129,8.211185856
Control,0,0,C,4,C4,2.3868,-18.6248095,3.951077126,37.20990621,9.417661319
Control,0,0,C,5,C5,3.5718,-16.835133,3.679121239,41.24602197,11.21083522
Control,0,0,C,6,C6,3.5708,-18.0396665,4.431639196,46.7770211,10.55524131
Control,0,0,C,7,C7,2.8668,-18.5719705,3.702840163,41.64578832,11.24698515
Control,0,0,C,8,C8,2.3308,-19.42033,4.152834044,42.15477705,10.15084557
Enriched,5,7,A,2,A2,2.1984,-17.422032,3.080148378,30.8279492,10.00859226
Enriched,5,7,A,4,A4,1.9984,-18.1319024,3.629657852,35.80168898,9.863653942
Enriched,5,7,A,6,A6,2.0264,-14.4861968,3.257644368,33.03504744,10.14077772
Enriched,5,7,A,8,A8,2.2164,-19.18196,3.384925711,28.73363964,8.488706133
Enriched,5,7,B,2,B2,1.3994,-18.3580384,3.207312614,37.31449899,11.63419457
Enriched,5,7,B,4,B4,1.0314,-19.712888,4.355263308,39.14078044,8.98700668
Enriched,5,7,B,6,B6,2.1614,-16.5007736,4.233059628,38.92236964,9.194855036
Enriched,5,7,B,8,B8,2.4434,-16.9166672,3.121580988,34.64987923,11.1001058
Enriched,5,7,C,2,C2,1.9124,-18.036532,3.326809731,35.067028,10.54073748
Enriched,5,7,C,4,C4,0.7944,-17.1044584,3.320025888,33.18603222,9.995714896
Enriched,5,7,C,6,C6,1.5424,-18.5458296,3.798540742,39.76876246,10.46948425
Enriched,5,7,C,8,C8,2.7324,-17.5754112,3.172425063,30.88507445,9.735478012
Control,5,7,A,2,A2,2.239166667,-15.3786348,3.752165371,36.82124091,9.813331042
Control,5,7,A,4,A4,2.031166667,-18.7906056,2.697703925,33.19124556,12.3035168
Control,5,7,A,6,A6,1.756166667,-19.050169,3.970541274,41.37210467,10.41976441
Control,5,7,A,8,A8,2.253166667,-18.594447,3.804125824,41.77411892,10.98126636
Control,5,7,B,2,B2,2.254166667,-17.8860965,2.897093864,31.32656812,10.81310085
Control,5,7,B,4,B4,2.253166667,-20.07059,2.643681892,34.93689678,13.2152423
Control,5,7,B,6,B6,3.113166667,-17.2104391,2.732361582,33.03995574,12.09208765
Control,5,7,B,8,B8,1.859166667,-17.7602776,2.485454206,33.78766642,13.59416172
Control,5,7,C,2,C2,2.050166667,-19.3424255,3.575272031,35.81129539,10.01638339
Control,5,7,C,4,C4,2.829166667,-17.7810823,2.749000424,28.7343371,10.4526492
Control,5,7,C,6,C6,1.848166667,-17.851422,2.905819961,34.89650778,12.00917753
Control,5,7,C,8,C8,2.771166667,-18.7816893,2.691440824,32.59087993,12.10908285
Enriched,6,10,A,2,A2,1.551166667,-17.7265938,3.274579652,34.08648472,10.40942299
Enriched,6,10,A,4,A4,2.247166667,-17.0856109,4.055497194,36.77334315,9.067530167
Enriched,6,10,A,6,A6,0.861166667,-16.553605,3.388366447,33.28339508,9.822844015
Enriched,6,10,A,8,A8,1.115166667,-19.6019889,3.548040479,36.42764623,10.26697594
Enriched,6,10,B,2,B2,1.435166667,-17.9911107,2.608834052,31.27384496,11.98767125
Enriched,6,10,B,4,B4,1.394166667,-18.5558097,3.033414483,35.67637563,11.76112787
Enriched,6,10,B,6,B6,2.062166667,-16.474349,2.856825065,29.58504537,10.35591774
Enriched,6,10,B,8,B8,1.717166667,-16.8527964,2.600871713,27.37213202,10.52421459
Enriched,6,10,C,1,C1,1.612166667,-16.9092663,3.024816882,25.13115622,8.308323182
Enriched,6,10,C,3,C3,1.041166667,-17.6215796,2.918884041,28.62543208,9.806978172
Enriched,6,10,C,6,C6,2.234166667,-15.9373896,3.64884883,34.72254724,9.51602789
Enriched,6,10,C,8,C8,2.625166667,-16.8636941,2.473919775,28.46692353,11.50680949
Control,6,10,A,2,A2,2.267166667,-16.563512,3.276362275,33.45506102,10.2110384
Control,6,10,A,4,A4,2.613166667,-19.3453976,2.973706204,34.05147667,11.45085437
Control,6,10,A,6,A6,2.228166667,-18.9193966,3.076937112,35.94383625,11.6816935
Control,6,10,A,8,A8,2.857166667,-18.6519076,2.850828968,33.5808964,11.77934446
Control,6,10,B,2,B2,1.976166667,-18.2467113,2.351653478,33.79720997,14.37167945
Control,6,10,B,4,B4,2.597166667,-19.3741279,2.938972633,35.5631996,12.10055487
Control,6,10,B,6,B6,3.136166667,-18.7202659,2.913847459,34.82967333,11.95315603
Control,6,10,B,8,B8,1.446166667,-18.2011391,2.750295397,38.65752559,14.05577221
Control,6,10,C,2,C2,1.868,-17.2169865,2.847390932,30.71468584,10.7869578
Control,6,10,C,4,C4,3.174,-18.8720271,2.538764195,30.67945004,12.08440315
Control,6,10,C,6,C6,0.825,-18.8018487,3.064707822,33.00747519,10.77018663
Control,6,10,C,8,C8,1.886,-20.1128202,4.041439838,45.23639657,11.19313868
Enriched,7,14,A,2,A2,0.956,-16.6935726,3.563140266,35.75356099,10.0342839
Enriched,7,14,A,4,A4,1.454,-17.1331623,4.019309565,37.97271125,9.447570692
Enriched,7,14,A,6,A6,-0.4,-15.5755917,2.982360898,30.55913022,10.24662382
Enriched,7,14,A,8,A8,0.492,-19.2209697,4.286678452,40.46679649,9.440128747
Enriched,7,14,B,2,B2,0.738,-19.3710735,3.568997832,39.62188606,11.10168398
Enriched,7,14,B,4,B4,1.003,-18.1595214,3.306442707,34.75283411,10.51064155
