Location,Time_point,Plant,Replicate,d15N,d13C,perctN,perctC,ratioCN
Top,0,A,1,1.7,-22.5,5.6,47.2,8.4
Top,0,A,2,1.5,-22,5.7,47.4,8.4
Top,0,A,3,1.9,-21.8,5.2,44,8.5
Mid,0,A,1,1.9,-21.7,3.9,34.2,8.8
Mid,0,A,2,2,-21.9,5.2,44.7,8.6
Mid,0,A,3,2.3,-21.9,4.2,38.5,9.1
Bottom,0,A,1,1.9,-21.8,4.4,38.6,8.7
Bottom,0,A,2,1.6,-21.8,3.1,27.1,8.6
Bottom,0,A,3,1.1,-21,3.8,39.8,10.3
Holdfast,0,A,H,0.5,-20.9,3.7,37.2,10.1
Top,0,B,1,1.8,-22.2,5.2,44.5,8.6
Top,0,B,2,1.8,-22,5.2,45.1,8.7
Top,0,B,3,2,-22.1,5.3,47.5,8.9
Mid,0,B,1,2,-21.6,4.9,44.3,9
Mid,0,B,2,1.8,-21.7,5,45.6,9.2
Mid,0,B,3,1.8,-21.3,4.6,43.7,9.5
Bottom,0,B,1,1.8,-21.8,4.3,40.2,9.3
Bottom,0,B,2,1.9,-21.2,4.3,39.1,9.2
Bottom,0,B,3,1.8,-20.7,3.9,40.5,10.4
Holdfast,0,B,H,0.8,-19.7,3.7,42.3,11.5
Top,0,C,1,1.2,-22,5.3,45.6,8.5
Top,0,C,2,1.4,-21.5,4.1,37.5,9.1
Top,0,C,3,1.2,-22,4.8,41.7,8.7
Mid,0,C,1,1.5,-20.1,4.2,40.3,9.7
Mid,0,C,2,2,-21.2,4.5,42,9.3
Mid,0,C,3,1.7,-20.9,4,39,9.8
Bottom,0,C,1,0.9,-22.6,3.8,35.2,9.4
Bottom,0,C,2,1.3,-21.3,3.8,39.3,10.3
Bottom,0,C,3,1.3,-20.9,3.6,38.7,10.7
Holdfast,0,C,H,0.6,-21.6,3.6,41.1,11.3
Top,0,D,1,2.4,-17.9,4.5,42.2,9.4
Top,0,D,2,2.1,-17.4,4.2,39.3,9.3
Top,0,D,3,0.9,-22.3,5.8,47.9,8.3
Mid,0,D,1,2.5,-18.1,4.6,42.2,9.1
Mid,0,D,2,1.9,-18.1,4.1,37.4,9.1
Mid,0,D,3,1.1,-17.3,3.8,35.8,9.3
Bottom,0,D,1,1.8,-18.3,3.5,32.6,9.4
Bottom,0,D,2,1.3,-17,2.8,28.4,10.1
Bottom,0,D,3,1.2,-17.6,2.9,31.8,10.9
Holdfast,0,D,H,1,-17.7,3.6,39.5,11
Top,0,E,1,0.9,-22.9,6.5,52.4,8
Top,0,E,2,0.8,-22.3,5.9,47.4,8
Top,0,E,3,,,,,
Mid,0,E,1,1.2,-22.1,10.1,83.8,8.3
Mid,0,E,2,1.7,-17,2.9,33.8,11.6
Mid,0,E,3,1,-22,5.7,47.2,8.2
Bottom,0,E,1,1.1,-21.5,3.3,29.9,9.1
Bottom,0,E,2,0.9,-20.8,3.1,30.3,9.8
Bottom,0,E,3,0.6,-21.1,4.1,38.6,9.3
Holdfast,0,E,H,0.8,-20.6,2.3,22.6,9.7
Top,0,F,1,1.4,-20.5,5.1,45.3,8.9
Top,0,F,2,0.9,-20.8,5.3,47.5,8.9
Top,0,F,3,1.5,-21.8,6,49.4,8.3
Mid,0,F,1,1.4,-20.8,4.3,33.3,7.7
Mid,0,F,2,1.1,-20,3.7,33,8.9
Mid,0,F,3,0.9,-20.4,4.4,37.7,8.7
Bottom,0,F,1,1.2,-20,3.3,29.7,8.9
Bottom,0,F,2,1.6,-20.4,5,41.9,8.4
Bottom,0,F,3,0.9,-21.6,3.9,34.8,8.9
Holdfast,0,F,H,0.8,-20,3.5,31.5,9
Top,15,A,1,0.5,-18.9,3.2,28.9,9.1
Top,15,A,2,0.3,-19.6,3.5,31,8.8
Top,15,A,3,-0.1,-19.9,5.3,49,9.2
Mid,15,A,1,0.5,-19.9,3.6,32.9,9.2
Mid,15,A,2,-0.2,-19.4,2.3,20.7,9.1
Mid,15,A,3,0.7,-19.1,2.6,23.5,9.1
Bottom,15,A,1,0.7,-18.5,3,29,9.6
Bottom,15,A,2,0.8,-19.2,3.6,35.4,9.9
Bottom,15,A,3,1,-19.7,3,30.3,10.1
Holdfast,15,A,H,0.4,-18.6,2.6,27.2,10.4
Top,15,B,1,0.9,-19.9,2.9,33.2,11.6
Top,15,B,2,0.5,-19.9,2.7,32.1,11.9
