Time_point,Treatment ,Plots,Replicate , d15N ,d13C,perctN,perctC,ratioCN
0,Enriched_Calcified,A,1,1.7,-15.1,1.6,22.2,13.6
0,Enriched_Calcified,A,2,0.9,-13.6,1.6,22.1,13.9
0,Enriched_Calcified,A,3,2.5,-7,0.5,16.5,31.5
0,Enriched_Calcified,A,4,2.6,-4.6,0.4,16,40.6
0,Enriched_Calcified,A,5,2.4,-4.1,0.5,15.3,32.9
0,Enriched_Calcified,A,6,2,-6.5,0.6,16.5,25.5
0,Enriched_Calcified,A,7,2.1,-7.7,0.8,17.2,20.6
0,Enriched_Calcified,A,8,2.2,-10.7,0.9,17,18.7
0,Enriched_Calcified,B,1,3.2,-2.7,0.4,14.3,38.9
0,Enriched_Calcified,B,2,2.9,-1.8,0.3,14,53.2
0,Enriched_Calcified,B,3,2.1,-11.6,1,18.2,17.5
0,Enriched_Calcified,B,4,2.9,-5.2,0.4,14.9,36.2
0,Enriched_Calcified,B,5,3.3,-5,0.4,15.7,39.6
0,Enriched_Calcified,B,6,2.5,-3.8,0.6,15.3,27.4
0,Enriched_Calcified,B,7,3.3,-3.4,0.4,14.5,37.4
0,Enriched_Calcified,B,8,2.9,-1.5,0.3,13.6,48.3
0,Enriched_Calcified,C,1,2.9,-2.9,0.4,15.1,34.5
0,Enriched_Calcified,C,2,2.7,-11.7,1.2,20,16.1
0,Enriched_Calcified,C,3,2.5,-3.8,0.4,14.8,35.9
0,Enriched_Calcified,C,4,1.7,-8.3,0.8,16.5,20.9
0,Enriched_Calcified,C,5,3.5,-4.3,0.4,13.7,31.3
0,Enriched_Calcified,C,6,2.5,-10,1.1,18.1,16.6
0,Enriched_Calcified,C,7,3.4,-6,0.6,14.8,26.8
0,Enriched_Calcified,C,8,3,-9.8,1,18.2,18.1
0,Control_Calcified,A,1,1.1,-12.4,1.2,18.1,15.1
0,Control_Calcified,A,2,1.9,-2.8,0.3,12.8,40.4
0,Control_Calcified,A,3,2.1,-3.7,0.5,15,31.3
0,Control_Calcified,A,4,2,-3,0.4,14.4,36.3
0,Control_Calcified,A,5,2.3,-2.1,0.3,14.2,42.4
0,Control_Calcified,A,6,2.2,-1.6,0.3,13.7,48.1
