Treatment,Plot,Time_point,Days ,Replicate ,Silica,Nitrite,Nitrate,Phosphate,Silica_mol,Nitrite_mol,Nitrate_mol,Phosphate_mol
Control,B,0,0,1,80.265,3.668,20.98026087,1.752,1.335968708,0.079729598,0.338364563,0.018447649
Control,B,0,0,2,80.59,1.451,20.37104348,-1.465,1.341378162,0.031539707,0.328539252,-0.015425688
Control,B,5,7,1,81.346,3.758,45.83956522,4.171,1.353961385,0.081685885,0.739289398,0.043918461
Control,B,5,7,2,93.911,3.256,47.16447826,3.893,1.563099201,0.070774147,0.760657275,0.040991265
Control,B,6,10,1,80.864,2.524,33.35195652,-0.579,1.345938748,0.054863006,0.537892272,-0.006096569
Control,B,6,10,2,79.637,2.086,33.25895652,-0.771,1.325515979,0.045342405,0.53639239,-0.008118229
Control,B,7,14,1,85.055,3.078,50.97613043,2.52,1.415695739,0.066905044,0.822130677,0.026534289
Control,B,7,14,2,82.483,3.361,48.30069565,2.719,1.372886152,0.073056482,0.778981914,0.028629656
Control,B,8,20,1,51.272,1.168,9.669304348,-1.232,0.853395473,0.025388269,0.155944197,-0.012972319
Control,B,8,20,2,48.825,0.72,10.03995652,-0.679,0.812666445,0.015650303,0.161921986,-0.007149517
Control,B,9,26,1,59.552,3.089,82.84278261,-0.929,0.991211718,0.067144146,1.336068321,-0.009781887
Control,B,9,26,2,59.237,2.535,78.95295652,-0.451,0.985968708,0.055102107,1.273334148,-0.004748795
Control,B,10,36,1,67.642,1.92,56.95373913,0.061,1.125865513,0.04173414,0.918536102,0.000642298
Control,B,10,36,2,66.22,1.224,62.39086957,0.03,1.102197071,0.026605515,1.006224824,0.000315884
Control,B,11,42,1,83.315,1.914,39.65573913,7.225,1.386734354,0.041603721,0.63955815,0.076075493
Control,B,11,42,2,107.343,1.485,40.38356522,6.376,1.786667776,0.032278749,0.651296353,0.067135964
Control,A,0,0,1,71.524,2.879,23.30526087,0.871,1.190479361,0.062579474,0.375861599,0.009171177
Control,A,0,0,2,87.642,2.51,26.58721739,1.038,1.458754993,0.054558694,0.428792199,0.0109296
Control,A,5,7,1,85.643,3.201,46.39756522,2.89,1.42548269,0.069578637,0.748288687,0.030430197
Control,A,5,7,2,101.339,3.037,55.84582609,2.399,1.686734354,0.066013846,0.900667949,0.025260222
Control,A,6,10,1,92.386,2.324,39.06,0.448,1.537716378,0.050515699,0.629950214,0.004717207
Control,A,6,10,2,127.233,3.405,42.23278261,0.981,2.117726365,0.07401289,0.681120083,0.01032942
Control,A,7,14,1,82.608,3.061,52.65956522,2.091,1.374966711,0.066535523,0.849280706,0.022017143
Control,A,7,14,2,88.421,3.038,49.36413043,1.603,1.471721039,0.066035583,0.796132732,0.016878756
Control,A,8,20,1,85.684,0.981,20.99373913,1.321,1.426165113,0.021323537,0.338581937,0.013909443
Control,A,8,20,2,61.973,0.499,15.08352174,0.905,1.031507989,0.010846529,0.243263383,0.009529179
Control,A,9,26,1,70.781,1.284,83.11773913,3.857,1.178112517,0.027909706,1.340502753,0.040612204
Control,A,9,26,2,65.769,1.005,78.05126087,2.606,1.094690413,0.021845214,1.258791819,0.027439825
Control,A,10,36,1,65.027,1.394,57.009,0.233,1.082340213,0.030300725,0.919427336,0.002453369
Control,A,10,36,2,60.035,0.755,57.04404348,-0.266,0.999250999,0.016411081,0.919992508,-0.002800842
Control,A,11,42,1,95.656,3.236,39.0653913,6.795,1.592143808,0.070339416,0.630037163,0.071547816
Control,A,11,42,2,131.221,2.151,47.90173913,6.514,2.184104527,0.046755279,0.772547639,0.068589032
